Size,Channels,Threads,Time_s
256,3,2,0.0036439
256,3,2,0.0021766
256,3,2,0.0021559
256,3,2,0.0022938
256,3,2,0.003487
256,3,2,0.0034706
256,3,2,0.003477
256,3,2,0.0021636
256,3,2,0.0021315
256,3,2,0.0021312
256,3,2,0.0022364
256,3,2,0.0024471
256,3,2,0.0037046
256,3,2,0.0022435
256,3,2,0.0033127
256,3,2,0.0022641
256,3,2,0.0024667
256,3,2,0.0024785
256,3,2,0.0022364
256,3,2,0.0027813
256,3,2,0.0023405
256,3,2,0.0022218
256,3,2,0.0022304
256,3,2,0.0021833
256,3,2,0.0024336
256,3,2,0.0022578
256,3,2,0.0021596
256,3,2,0.0021498
256,3,2,0.002164
256,3,2,0.0024123
256,3,2,0.0031471
256,3,2,0.0025998
256,3,2,0.0022556
256,3,2,0.0026511
256,3,2,0.0021478
256,3,2,0.0022811
256,3,2,0.0026941
256,3,2,0.0021625
256,3,2,0.0026779
256,3,2,0.0022032
256,3,2,0.0021512
256,3,2,0.002709
256,3,2,0.0021293
256,3,2,0.0024621
256,3,2,0.0024263
256,3,2,0.0023072
256,3,2,0.0021473
256,3,2,0.0021397
256,3,2,0.0021291
256,3,2,0.0021305
256,3,4,0.0029952
256,3,4,0.0014723
256,3,4,0.0024805
256,3,4,0.0011936
256,3,4,0.0022292
256,3,4,0.0022329
256,3,4,0.0016035
256,3,4,0.0017266
256,3,4,0.0017263
256,3,4,0.0023923
256,3,4,0.0019771
256,3,4,0.0015753
256,3,4,0.0016203
256,3,4,0.0018133
256,3,4,0.0023777
256,3,4,0.0022206
256,3,4,0.0023239
256,3,4,0.0013394
256,3,4,0.0020754
256,3,4,0.0024715
256,3,4,0.0022847
256,3,4,0.0014503
256,3,4,0.0019464
256,3,4,0.0030171
256,3,4,0.0020207
256,3,4,0.0013087
256,3,4,0.0020807
256,3,4,0.0011874
256,3,4,0.0024846
256,3,4,0.0021855
256,3,4,0.0021276
256,3,4,0.0017312
256,3,4,0.001517
256,3,4,0.0018743
256,3,4,0.0022122
256,3,4,0.0027713
256,3,4,0.0021219
256,3,4,0.0012183
256,3,4,0.0023567
256,3,4,0.0022217
256,3,4,0.0022944
256,3,4,0.0013672
256,3,4,0.0012086
256,3,4,0.0024058
256,3,4,0.0021771
256,3,4,0.0012496
256,3,4,0.0022519
256,3,4,0.0014626
256,3,4,0.0023598
256,3,4,0.0021096
256,3,8,0.0047508
256,3,8,0.0022667
256,3,8,0.0021457
256,3,8,0.0014436
256,3,8,0.001255
256,3,8,0.0015137
256,3,8,0.0019754
256,3,8,0.0021491
256,3,8,0.0013375
256,3,8,0.0013717
256,3,8,0.0016055
256,3,8,0.0014696
256,3,8,0.0016234
256,3,8,0.0016289
256,3,8,0.0014791
256,3,8,0.0013665
256,3,8,0.0021336
256,3,8,0.0013264
256,3,8,0.001929
256,3,8,0.0017092
256,3,8,0.002214
256,3,8,0.0014022
256,3,8,0.0021051
256,3,8,0.001295
256,3,8,0.0020305
256,3,8,0.0014323
256,3,8,0.0022473
256,3,8,0.0023065
256,3,8,0.0024977
256,3,8,0.0026675
256,3,8,0.0017048
256,3,8,0.0014819
256,3,8,0.0022701
256,3,8,0.0025147
256,3,8,0.0024302
256,3,8,0.0023418
256,3,8,0.0022265
256,3,8,0.0029151
256,3,8,0.0017999
256,3,8,0.0022672
256,3,8,0.0022723
256,3,8,0.0024566
256,3,8,0.0023278
256,3,8,0.0022611
256,3,8,0.0020844
256,3,8,0.0017524
256,3,8,0.0021867
256,3,8,0.0023334
256,3,8,0.0022331
256,3,8,0.0021802
256,3,16,0.0034333
256,3,16,0.0012238
256,3,16,0.0011619
256,3,16,0.0013314
256,3,16,0.0017121
256,3,16,0.0023952
256,3,16,0.0018874
256,3,16,0.0012682
256,3,16,0.0022411
256,3,16,0.0022797
256,3,16,0.002235
256,3,16,0.002868
256,3,16,0.0022623
256,3,16,0.0020562
256,3,16,0.002132
256,3,16,0.0015049
256,3,16,0.0014688
256,3,16,0.0021028
256,3,16,0.0021454
256,3,16,0.0015746
256,3,16,0.0021242
256,3,16,0.0022302
256,3,16,0.001634
256,3,16,0.0021037
256,3,16,0.0015015
256,3,16,0.0016183
256,3,16,0.0024698
256,3,16,0.0014155
256,3,16,0.0022138
256,3,16,0.0021936
256,3,16,0.0016641
256,3,16,0.0019139
256,3,16,0.0016821
256,3,16,0.0017193
256,3,16,0.0017319
256,3,16,0.0020799
256,3,16,0.0022107
256,3,16,0.0017255
256,3,16,0.0020581
256,3,16,0.002665
256,3,16,0.0021633
256,3,16,0.0013171
256,3,16,0.0023584
256,3,16,0.0021981
256,3,16,0.0024511
256,3,16,0.0022299
256,3,16,0.0024864
256,3,16,0.0021038
256,3,16,0.0014549
256,3,16,0.0021374
256,3,32,0.0067549
256,3,32,0.001662
256,3,32,0.0014706
256,3,32,0.0017671
256,3,32,0.0016457
256,3,32,0.0012967
256,3,32,0.0017936
256,3,32,0.0017395
256,3,32,0.0019321
256,3,32,0.0013172
256,3,32,0.0015239
256,3,32,0.0018014
256,3,32,0.0016165
256,3,32,0.0014656
256,3,32,0.0016891
256,3,32,0.0016048
256,3,32,0.0017552
256,3,32,0.0016352
256,3,32,0.0017189
256,3,32,0.0017463
256,3,32,0.00158
256,3,32,0.0015852
256,3,32,0.0016949
256,3,32,0.0012269
256,3,32,0.001407
256,3,32,0.0017289
256,3,32,0.0015444
256,3,32,0.0014165
256,3,32,0.0021806
256,3,32,0.0018419
256,3,32,0.0016168
256,3,32,0.0014295
256,3,32,0.0017799
256,3,32,0.0016102
256,3,32,0.0017912
256,3,32,0.0016826
256,3,32,0.0014298
256,3,32,0.0012484
256,3,32,0.0018436
256,3,32,0.0012638
256,3,32,0.0014506
256,3,32,0.0021139
256,3,32,0.0017208
256,3,32,0.001684
256,3,32,0.0017789
256,3,32,0.0020212
256,3,32,0.0019033
256,3,32,0.0019043
256,3,32,0.0021338
256,3,32,0.0018313
256,3,64,0.0075318
256,3,64,0.0024224
256,3,64,0.0019755
256,3,64,0.0020366
256,3,64,0.0018334
256,3,64,0.0021302
256,3,64,0.0017108
256,3,64,0.0019145
256,3,64,0.0017634
256,3,64,0.0017863
256,3,64,0.0017448
256,3,64,0.0021493
256,3,64,0.0015765
256,3,64,0.00237
256,3,64,0.0021311
256,3,64,0.0023451
256,3,64,0.0021247
256,3,64,0.0015879
256,3,64,0.0017139
256,3,64,0.0017696
256,3,64,0.0018955
256,3,64,0.0016006
256,3,64,0.0018748
256,3,64,0.0016672
256,3,64,0.0018706
256,3,64,0.0017451
256,3,64,0.001484
256,3,64,0.0017812
256,3,64,0.0015252
256,3,64,0.0018343
256,3,64,0.0016391
256,3,64,0.0018866
256,3,64,0.0016592
256,3,64,0.001682
256,3,64,0.0018157
256,3,64,0.0015032
256,3,64,0.0013157
256,3,64,0.0017281
256,3,64,0.0016016
256,3,64,0.0017992
256,3,64,0.0015896
256,3,64,0.0018528
256,3,64,0.0016737
256,3,64,0.0018566
256,3,64,0.001727
256,3,64,0.0018429
256,3,64,0.0016552
256,3,64,0.0018614
256,3,64,0.0016934
256,3,64,0.0013535
256,3,128,0.0115786
256,3,128,0.0023032
256,3,128,0.0017823
256,3,128,0.0041336
256,3,128,0.0037169
256,3,128,0.0020492
256,3,128,0.00213
256,3,128,0.0026344
256,3,128,0.0030298
256,3,128,0.003134
256,3,128,0.0030283
256,3,128,0.0031918
256,3,128,0.0033325
256,3,128,0.0028313
256,3,128,0.0033393
256,3,128,0.0030683
256,3,128,0.0018754
256,3,128,0.0025851
256,3,128,0.0027151
256,3,128,0.0032656
256,3,128,0.0022722
256,3,128,0.0020173
256,3,128,0.0021266
256,3,128,0.0021276
256,3,128,0.0017776
256,3,128,0.0018531
256,3,128,0.0030675
256,3,128,0.0028771
256,3,128,0.0034068
256,3,128,0.0036934
256,3,128,0.0017279
256,3,128,0.0019083
256,3,128,0.0020304
256,3,128,0.0019884
256,3,128,0.0020456
256,3,128,0.0019409
256,3,128,0.0017511
256,3,128,0.0022687
256,3,128,0.0019175
256,3,128,0.0016921
256,3,128,0.001919
256,3,128,0.0017691
256,3,128,0.0018631
256,3,128,0.0020161
256,3,128,0.0017763
256,3,128,0.0019612
256,3,128,0.0016978
256,3,128,0.0017387
256,3,128,0.001735
256,3,128,0.0020262
256,16,2,0.011229
256,16,2,0.0108502
256,16,2,0.0099878
256,16,2,0.0107411
256,16,2,0.0099896
256,16,2,0.0095987
256,16,2,0.010288
256,16,2,0.0099418
256,16,2,0.0107613
256,16,2,0.0109257
256,16,2,0.0114899
256,16,2,0.0094162
256,16,2,0.0089375
256,16,2,0.0103147
256,16,2,0.0101642
256,16,2,0.00959
256,16,2,0.0098341
256,16,2,0.0098854
256,16,2,0.0100746
256,16,2,0.0102493
256,16,2,0.00932
256,16,2,0.009684
256,16,2,0.0097546
256,16,2,0.0101017
256,16,2,0.00945
256,16,2,0.0102224
256,16,2,0.0096796
256,16,2,0.0095672
256,16,2,0.0093902
256,16,2,0.0095721
256,16,2,0.0094127
256,16,2,0.0096596
256,16,2,0.0101353
256,16,2,0.010313
256,16,2,0.0084965
256,16,2,0.0100314
256,16,2,0.0103785
256,16,2,0.0099002
256,16,2,0.0106132
256,16,2,0.010562
256,16,2,0.0107554
256,16,2,0.0092279
256,16,2,0.0097096
256,16,2,0.0101099
256,16,2,0.010406
256,16,2,0.0098972
256,16,2,0.0104911
256,16,2,0.0098661
256,16,2,0.0094438
256,16,2,0.0105304
256,16,4,0.0078568
256,16,4,0.0049172
