Size,Channels,Threads,Time_s
256,3,2,0.0018899
256,3,2,0.0014089
256,3,2,0.0012603
256,3,2,0.0016548
256,3,2,0.0014578
256,3,2,0.0015947
256,3,2,0.0015956
256,3,2,0.0014759
256,3,2,0.0014762
256,3,2,0.0016644
256,3,2,0.0017116
256,3,2,0.0013765
256,3,2,0.0014122
256,3,2,0.0014294
256,3,2,0.0019552
256,3,2,0.0017366
256,3,2,0.001528
256,3,2,0.0017667
256,3,2,0.0014561
256,3,2,0.0016952
256,3,2,0.0017401
256,3,2,0.0016354
256,3,2,0.0015492
256,3,2,0.0013931
256,3,2,0.0016075
256,3,2,0.0014234
256,3,2,0.001357
256,3,2,0.0014546
256,3,2,0.0013911
256,3,2,0.0014476
256,3,2,0.0017508
256,3,2,0.0016086
256,3,2,0.0015968
256,3,2,0.0014216
256,3,2,0.0017872
256,3,2,0.0013523
256,3,2,0.0014388
256,3,2,0.0012628
256,3,2,0.0012439
256,3,2,0.0012398
256,3,2,0.001257
256,3,2,0.0014057
256,3,2,0.0013906
256,3,2,0.001411
256,3,2,0.0015039
256,3,2,0.0012722
256,3,2,0.0013439
256,3,2,0.0012737
256,3,2,0.0013812
256,3,2,0.0013411
256,3,4,0.0020113
256,3,4,0.0010075
256,3,4,0.002071
256,3,4,0.000771
256,3,4,0.0007905
256,3,4,0.0007577
256,3,4,0.0006573
256,3,4,0.000664
256,3,4,0.0007561
256,3,4,0.000786
256,3,4,0.0007759
256,3,4,0.0008164
256,3,4,0.0009513
256,3,4,0.0009659
256,3,4,0.0010604
256,3,4,0.000913
256,3,4,0.0009604
256,3,4,0.0006896
256,3,4,0.000683
256,3,4,0.0008523
256,3,4,0.0010966
256,3,4,0.0008563
256,3,4,0.000775
256,3,4,0.0006877
256,3,4,0.0009147
256,3,4,0.0009713
256,3,4,0.00098
256,3,4,0.0009444
256,3,4,0.000786
256,3,4,0.0007857
256,3,4,0.000782
256,3,4,0.0009707
256,3,4,0.0007776
256,3,4,0.001051
256,3,4,0.000974
256,3,4,0.0010006
256,3,4,0.0007781
256,3,4,0.0008252
256,3,4,0.0008449
256,3,4,0.0009985
256,3,4,0.0009807
256,3,4,0.0009888
256,3,4,0.0008243
256,3,4,0.0008558
256,3,4,0.0010334
256,3,4,0.0009997
256,3,4,0.0007717
256,3,4,0.000871
256,3,4,0.0009943
256,3,4,0.0009779
256,3,8,0.0017444
